"year","month","day","past_sale_1","past_sale_2","past_sale_3","current_sales"
2016,1,12,2.19,2.19,2.3,2.38
2016,1,11,2.19,2.3,2.38,2.53
2016,1,8,2.3,2.38,2.53,2.47
2016,1,7,2.38,2.53,2.47,2.35
2016,1,6,2.53,2.47,2.35,2.35
2016,1,5,2.47,2.35,2.35,2.32
2016,1,4,2.35,2.35,2.32,2.39
2015,12,31,2.35,2.32,2.39,2.32
2015,12,30,2.32,2.39,2.32,2.24
2015,12,28,2.39,2.32,2.24,2.08
2015,12,24,2.32,2.24,2.08,1.54
2015,12,23,2.24,2.08,1.54,1.62
2015,12,22,2.08,1.54,1.62,1.75
2015,12,21,1.54,1.62,1.75,1.7
2015,12,18,1.62,1.75,1.7,1.7
2015,12,17,1.75,1.7,1.7,1.75
2015,12,16,1.7,1.7,1.75,1.68
2015,12,15,1.7,1.75,1.68,1.65
2015,12,14,1.75,1.68,1.65,1.69
2015,12,11,1.68,1.65,1.69,1.77
2015,12,10,1.65,1.69,1.77,1.91
2015,12,9,1.69,1.77,1.91,2
2015,12,8,1.77,1.91,2,1.98
2015,12,7,1.91,2,1.98,2.03
2015,12,4,2,1.98,2.03,2.08
2015,12,3,1.98,2.03,2.08,2.11
2015,12,2,2.03,2.08,2.11,2.17
2015,12,1,2.08,2.11,2.17,2.15
2015,11,30,2.11,2.17,2.15,2.09
2015,11,25,2.17,2.15,2.09,2.06
2015,11,24,2.15,2.09,2.06,2.11
2015,11,23,2.09,2.06,2.11,2.14
2015,11,20,2.06,2.11,2.14,2.16
2015,11,19,2.11,2.14,2.16,2.15
2015,11,18,2.14,2.16,2.15,2.1
2015,11,17,2.16,2.15,2.1,2.05
2015,11,16,2.15,2.1,2.05,2.14
2015,11,13,2.1,2.05,2.14,2.01
2015,11,12,2.05,2.14,2.01,2.01
2015,11,11,2.14,2.01,2.01,2.11
2015,11,10,2.01,2.01,2.11,2.11
2015,11,9,2.01,2.11,2.11,2.13
2015,11,6,2.11,2.11,2.13,2.16
2015,11,5,2.11,2.13,2.16,2.09
2015,11,4,2.13,2.16,2.09,2.02
2015,11,3,2.16,2.09,2.02,1.9
2015,11,2,2.09,2.02,1.9,1.92
2015,10,30,2.02,1.9,1.92,1.94
2015,10,29,1.9,1.92,1.94,2.1
2015,10,28,1.92,1.94,2.1,2.1
2015,10,27,1.94,2.1,2.1,2.07
2015,10,26,2.1,2.1,2.07,2.14
2015,10,23,2.1,2.07,2.14,2.27
2015,10,22,2.07,2.14,2.27,2.34
2015,10,21,2.14,2.27,2.34,2.36
2015,10,20,2.27,2.34,2.36,2.45
2015,10,19,2.34,2.36,2.45,2.42
2015,10,16,2.36,2.45,2.42,2.38
2015,10,15,2.45,2.42,2.38,2.49
2015,10,14,2.42,2.38,2.49,2.44
2015,10,13,2.38,2.49,2.44,2.43
2015,10,12,2.49,2.44,2.43,2.44
2015,10,9,2.44,2.43,2.44,2.36
2015,10,8,2.43,2.44,2.36,2.44
2015,10,7,2.44,2.36,2.44,2.46
2015,10,6,2.36,2.44,2.46,2.35
2015,10,5,2.44,2.46,2.35,2.32
2015,10,2,2.46,2.35,2.32,2.26
2015,10,1,2.35,2.32,2.26,2.37
2015,9,30,2.32,2.26,2.37,2.47
2015,9,29,2.26,2.37,2.47,2.53
2015,9,28,2.37,2.47,2.53,2.63
2015,9,25,2.47,2.53,2.63,2.54
2015,9,24,2.53,2.63,2.54,2.56
2015,9,23,2.63,2.54,2.56,2.59
2015,9,22,2.54,2.56,2.59,2.59
2015,9,21,2.56,2.59,2.59,2.59
2015,9,19,2.59,2.59,2.59,2.63
2015,9,18,2.59,2.59,2.63,2.63
2015,9,17,2.59,2.63,2.63,2.68
2015,9,16,2.63,2.63,2.68,2.68
2015,9,15,2.63,2.68,2.68,2.73
2015,9,14,2.68,2.68,2.73,2.7
2015,9,13,2.68,2.73,2.7,2.66
2015,9,12,2.73,2.7,2.66,2.66
2015,9,11,2.7,2.66,2.66,2.66
2015,9,10,2.66,2.66,2.66,2.71
2015,9,9,2.66,2.66,2.71,2.73
2015,9,8,2.66,2.71,2.73,2.73
2015,9,6,2.71,2.73,2.73,2.67
2015,9,5,2.73,2.73,2.67,2.67
2015,9,4,2.73,2.67,2.67,2.67
2015,9,3,2.67,2.67,2.67,2.67
2015,9,2,2.67,2.67,2.67,2.71
2015,9,1,2.67,2.67,2.71,2.74
2015,8,31,2.67,2.71,2.74,2.68
2015,8,30,2.71,2.74,2.68,2.66
2015,8,29,2.74,2.68,2.66,2.66
2015,8,28,2.68,2.66,2.66,2.66
2015,8,27,2.66,2.66,2.66,2.68
2015,8,26,2.66,2.66,2.68,2.72
2015,8,25,2.66,2.68,2.72,2.7
2015,8,24,2.68,2.72,2.7,2.64
2015,8,23,2.72,2.7,2.64,2.7
2015,8,21,2.7,2.64,2.7,2.7
2015,8,20,2.64,2.7,2.7,2.71
2015,8,19,2.7,2.7,2.71,2.73
2015,8,18,2.7,2.71,2.73,2.71
2015,8,17,2.71,2.73,2.71,2.76
2015,8,14,2.73,2.71,2.76,2.83
2015,8,13,2.71,2.76,2.83,2.92
2015,8,12,2.76,2.83,2.92,2.91
2015,8,11,2.83,2.92,2.91,2.84
2015,8,10,2.92,2.91,2.84,2.85
2015,8,7,2.91,2.84,2.85,2.8
2015,8,6,2.84,2.85,2.8,2.76
2015,8,5,2.85,2.8,2.76,2.86
2015,8,4,2.8,2.76,2.86,2.82
2015,8,3,2.76,2.86,2.82,2.75
2015,7,31,2.86,2.82,2.75,2.77
2015,7,30,2.82,2.75,2.77,2.85
2015,7,29,2.75,2.77,2.85,2.9
2015,7,28,2.77,2.85,2.9,2.88
2015,7,27,2.85,2.9,2.88,2.83
2015,7,24,2.9,2.88,2.83,2.81
2015,7,23,2.88,2.83,2.81,2.91
2015,7,22,2.83,2.81,2.91,2.89
2015,7,21,2.81,2.91,2.89,2.88
2015,7,20,2.91,2.89,2.88,2.84
2015,7,17,2.89,2.88,2.84,2.84
2015,7,16,2.88,2.84,2.84,2.9
2015,7,15,2.84,2.84,2.9,2.92
2015,7,14,2.84,2.9,2.92,2.95
2015,7,13,2.9,2.92,2.95,2.88
2015,7,10,2.92,2.95,2.88,2.75
2015,7,9,2.95,2.88,2.75,2.69
2015,7,8,2.88,2.75,2.69,2.71
2015,7,7,2.75,2.69,2.71,2.73
2015,7,6,2.69,2.71,2.73,2.74
2015,7,2,2.71,2.73,2.74,2.79
2015,7,1,2.73,2.74,2.79,2.81
2015,6,30,2.74,2.79,2.81,2.77
2015,6,29,2.79,2.81,2.77,2.8
2015,6,26,2.81,2.77,2.8,2.77
2015,6,25,2.77,2.8,2.77,2.79
2015,6,24,2.8,2.77,2.79,2.77
2015,6,23,2.77,2.79,2.77,2.83
2015,6,22,2.79,2.77,2.83,2.77
2015,6,19,2.77,2.83,2.77,2.81
